
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000463                       # Number of seconds simulated (Second)
simTicks                                    463199500                       # Number of ticks simulated (Tick)
finalTick                                   463199500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12423330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1174132                       # Number of bytes of host memory used (Byte)
simInsts                                       253766                       # Number of instructions simulated (Count)
simOps                                         375006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10058                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          919331                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.540023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.152905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         320824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1698                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        524561                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   298                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               79131                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           130414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                729                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             610231                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.859611                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.717221                       # Number of insts issued each cycle (Count)
system.mem_ctrls0.dram.dramBytesWritten          5120                       # Total bytes written (Byte)
system.mem_ctrls0.dram.avgRdBW            4479.037650                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls0.dram.avgWrBW              11.053553                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls0.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrls0.dram.busUtil                  35.08                       # Data bus utilization in percentage (Ratio)
system.mem_ctrls0.dram.busUtilRead              34.99                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrls0.dram.busUtilWrite              0.09                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrls0.dram.pageHitRate              92.75                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrls0.dram.power_state.pwrStateResidencyTicks::UNDEFINED    463199500                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls0.dram.rank0.actEnergy        8082480                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.preEnergy        4288350                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.readEnergy     114968280                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.writeEnergy        31320                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.refreshEnergy 36263760.000000                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.actBackEnergy    164590350                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.preBackEnergy     39266400                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.totalEnergy    367490940                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.averagePower   793.375079                       # Core power per rank (mW) (Watt)
system.mem_ctrls0.dram.rank0.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::IDLE     98482000                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::REF     15340000                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT    349377500                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.actEnergy        8739360                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.preEnergy        4626105                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.readEnergy     116489100                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.writeEnergy       386280                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.refreshEnergy 36263760.000000                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.actBackEnergy    169928400                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.preBackEnergy     34771200                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.totalEnergy    371204205                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.averagePower   801.391636                       # Core power per rank (mW) (Watt)
system.mem_ctrls0.dram.rank1.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::IDLE     86531750                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::REF     15340000                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::ACT    361327750                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.power_state.pwrStateResidencyTicks::UNDEFINED    463199500                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls1.avgPriority_ruby.dir_cntrl1::samples     32527.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls1.priorityMinLatency     0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrls1.priorityMaxLatency     0.000069756250                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrls1.numReadWriteTurnArounds            5                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrls1.numWriteReadTurnArounds            5                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrls1.numStayReadState              58037                       # Number of times bus staying in READ state (Count)
system.mem_ctrls1.numStayWriteState                75                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrls1.readReqs                      32430                       # Number of read requests accepted (Count)
system.mem_ctrls1.writeReqs                       108                       # Number of write requests accepted (Count)
system.mem_ctrls1.readBursts                    32430                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrls1.writeBursts                     108                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrls1.servicedByWrQ                    11                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrls1.mergedWrBursts                    0                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrls1.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrls1.avgRdQLen                      4.03                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrls1.avgWrQLen                     12.21                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrls1.numRdRetry                        0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrls1.numWrRetry                        0                       # Number of times write queue was full causing retry (Count)
system.mem_ctrls1.readPktSize::0                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::1                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::2                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::3                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::4                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::5                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::6                32430                       # Read request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::0                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::1                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::2                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::3                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::4                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::5                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::6                 108                       # Write request sizes (log2) (Count)
system.mem_ctrls1.rdQLenPdf::0                   1768                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::1                   2686                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::2                   3873                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::3                   4633                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::4                   4444                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::5                   4161                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::6                   3645                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::7                   2817                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::8                   1799                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::9                   1119                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::10                   626                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::11                   340                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::12                   226                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::13                   128                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::14                    66                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::15                    42                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::16                    23                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::17                    11                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::18                     6                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::19                     2                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::20                     1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::21                     1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::22                     1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::23                     1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::24                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::25                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::26                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::27                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::28                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::29                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::30                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::31                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::0                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::1                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::2                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::3                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::4                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::5                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::6                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::7                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::8                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::9                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::10                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::11                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::12                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::13                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::14                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::15                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::16                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::17                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::18                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::19                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::20                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::21                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::22                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::23                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::24                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::25                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::26                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::27                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::28                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::29                     6                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::30                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::31                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::32                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::33                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::34                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::35                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::36                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::37                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::38                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::39                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::40                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::41                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::42                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::43                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::44                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::45                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::46                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::47                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::48                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::49                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::50                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::51                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::52                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::53                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::54                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::55                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::56                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::57                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::58                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::59                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::60                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::61                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::62                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::63                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.rdPerTurnAround::samples            5                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::mean          3667                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::gmean   750.263189                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::stdev  6123.869365                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::0-511            2     40.00%     40.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::1536-2047            2     40.00%     80.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::14336-14847            1     20.00%    100.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::total            5                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.wrPerTurnAround::samples            5                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::mean            16                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::gmean    16.000000                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::16               5    100.00%    100.00% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::total            5                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.bytesReadWrQ                    704                       # Total number of bytes read from write queue (Byte)
system.mem_ctrls1.bytesReadSys                2075520                       # Total read bytes from the system interface side (Byte)
system.mem_ctrls1.bytesWrittenSys                6912                       # Total written bytes from the system interface side (Byte)
system.mem_ctrls1.avgRdBWSys             4480833852.36814785                       # Average system read bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls1.avgWrBWSys             14922295.90057848                       # Average system write bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls1.totGap                    462790500                       # Total gap between requests (Tick)
system.mem_ctrls1.avgGap                     14223.08                       # Average gap between requests ((Tick/Count))
system.mem_ctrls1.requestorReadBytes::ruby.dir_cntrl1      2074816                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls1.requestorWriteBytes::ruby.dir_cntrl1         5120                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls1.requestorReadRate::ruby.dir_cntrl1 4479313988.896793365479                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls1.requestorWriteRate::ruby.dir_cntrl1 11053552.518947020173                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls1.requestorReadAccesses::ruby.dir_cntrl1        32430                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls1.requestorWriteAccesses::ruby.dir_cntrl1          108                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls1.requestorReadTotalLat::ruby.dir_cntrl1   1334135500                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrls1.requestorWriteTotalLat::ruby.dir_cntrl1    673975750                       # Per-requestor write total memory access latency (Tick)
system.mem_ctrls1.requestorReadAvgLat::ruby.dir_cntrl1     41138.93                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrls1.requestorWriteAvgLat::ruby.dir_cntrl1   6240516.20                       # Per-requestor write average memory access latency ((Tick/Count))
system.mem_ctrls1.dram.bytesRead::ruby.dir_cntrl1      2075520                       # Number of bytes read from this memory (Byte)
system.mem_ctrls1.dram.bytesRead::total       2075520                       # Number of bytes read from this memory (Byte)
system.mem_ctrls1.dram.bytesWritten::ruby.dir_cntrl1         6912                       # Number of bytes written to this memory (Byte)
system.mem_ctrls1.dram.bytesWritten::total         6912                       # Number of bytes written to this memory (Byte)
system.mem_ctrls1.dram.numReads::ruby.dir_cntrl1        32430                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls1.dram.numReads::total          32430                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls1.dram.numWrites::ruby.dir_cntrl1          108                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls1.dram.numWrites::total           108                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls1.dram.bwRead::ruby.dir_cntrl1   4480833852                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwRead::total       4480833852                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwWrite::ruby.dir_cntrl1     14922296                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwWrite::total        14922296                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::ruby.dir_cntrl1   4495756148                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::total      4495756148                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.readBursts               32419                       # Number of DRAM read bursts (Count)
system.mem_ctrls1.dram.writeBursts                 80                       # Number of DRAM write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::0         2045                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::1         2036                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::2         1996                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::3         2011                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::4         1992                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::5         2009                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::6         1996                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::7         2027                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::8         2007                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::9         2003                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::10         2012                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::11         2032                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::12         2068                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::13         2061                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::14         2084                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::15         2040                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::0            4                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::1            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::2            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::3            1                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::4            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::5            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::6            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::7            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::8            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::9            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::10            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::11            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::12            0                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::13           18                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::14           30                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::15           27                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.totQLat              726279250                       # Total ticks spent queuing (Tick)
system.mem_ctrls1.dram.totBusLat            162095000                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrls1.dram.totMemAccLat        1334135500                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrls1.dram.avgQLat               22402.89                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.avgBusLat              5000.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.avgMemAccLat          41152.89                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrls1.dram.readRowHits              30083                       # Number of row buffer hits during reads (Count)
system.mem_ctrls1.dram.writeRowHits                63                       # Number of row buffer hits during writes (Count)
system.mem_ctrls1.dram.readRowHitRate           92.79                       # Row buffer hit rate for reads (Ratio)
system.mem_ctrls1.dram.writeRowHitRate          78.75                       # Row buffer hit rate for writes (Ratio)
system.mem_ctrls1.dram.bytesPerActivate::samples         2345                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::mean   886.611514                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::gmean   761.702187                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::stdev   289.776958                       # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::0-127          127      5.42%      5.42% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::128-255           96      4.09%      9.51% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::256-383           31      1.32%     10.83% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::384-511           29      1.24%     12.07% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::512-639           15      0.64%     12.71% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::640-767           29      1.24%     13.94% # Bytes accessed per row activation (Byte)
system.mem_ctrls1.dram.bytesPerActivate::768-895          219      9.34%     23.28% # Bytes accessed per row activation (Byte)
